"Gene",,"Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2580",,"","hypothetical protein;IS110 family transposase ISSep2","51","120","78","447","39.53488372093023","78.83597883597884","2.435576923076923","3.674132721544454e-05","0.28834593598680874","0.0010177460313269039","72","32","49","0.002942760530124973","0.40957939592707154"
"group_1866",,"","hypothetical protein","29","237","100","330","22.48062015503876","58.201058201058196","0.40379746835443037","3.499288569083058e-05","0.2746241669016384","0.0009738445634809872","38","18","23","0.2558750795433297","0.8714146793645341"
"group_2217",,"","hypothetical protein","59","374","70","193","45.73643410852713","34.038800705467374","0.4349503437738732","3.230923478531698e-05","0.2535628745951677","0.0009023589843244401","38","28","13","0.005097643297631296","0.07295138851623055"
"group_530",,"","hypothetical protein","23","32","106","535","17.829457364341085","94.3562610229277","3.6276533018867925","3.119186413829298e-05","0.2447937497573233","0.0008742633919904403","23","9","19","0.0025994777679443364","0.4048728942871095"
"group_2436",,"","hypothetical protein","56","138","73","429","43.41085271317829","75.66137566137566","2.3847528290649196","2.971822381378134e-05","0.23322862049055595","0.0008359448763102364","37","13","31","4.1257590055465685e-05","0.09887174959294497"
"group_2435",,"","hypothetical protein","56","138","73","429","43.41085271317829","75.66137566137566","2.3847528290649196","2.971822381378134e-05","0.23322862049055595","0.0008359448763102364","37","13","31","4.1257590055465685e-05","0.09887174959294497"
"group_2359",,"","hypothetical protein","56","138","73","429","43.41085271317829","75.66137566137566","2.3847528290649196","2.971822381378134e-05","0.23322862049055595","0.0008359448763102364","37","13","31","4.1257590055465685e-05","0.09887174959294497"
"group_2348",,"","hypothetical protein","56","138","73","429","43.41085271317829","75.66137566137566","2.3847528290649196","2.971822381378134e-05","0.23322862049055595","0.0008359448763102364","37","13","31","4.1257590055465685e-05","0.09887174959294497"
"group_1952",,"","hypothetical protein","56","138","73","429","43.41085271317829","75.66137566137566","2.3847528290649196","2.971822381378134e-05","0.23322862049055595","0.0008359448763102364","37","13","31","4.1257590055465685e-05","0.09887174959294497"
"group_1927",,"","hypothetical protein","56","138","73","429","43.41085271317829","75.66137566137566","2.3847528290649196","2.971822381378134e-05","0.23322862049055595","0.0008359448763102364","37","13","31","4.1257590055465685e-05","0.09887174959294497"
"group_1723",,"","hypothetical protein","56","138","73","429","43.41085271317829","75.66137566137566","2.3847528290649196","2.971822381378134e-05","0.23322862049055595","0.0008359448763102364","37","13","31","4.1257590055465685e-05","0.09887174959294497"
"group_1283",,"","hypothetical protein","56","138","73","429","43.41085271317829","75.66137566137566","2.3847528290649196","2.971822381378134e-05","0.23322862049055595","0.0008359448763102364","37","13","31","4.1257590055465685e-05","0.09887174959294497"
"group_1985",,"","hypothetical protein","42","88","87","479","32.55813953488372","84.47971781305115","2.627742946708464","2.6966703374888358e-05","0.21163468808612385","0.0007809398084358813","53","18","42","2.247559402324127e-05","0.02700831765372235"
"blaI~~~blaI_2",,"blaI;blaI_2;","Penicillinase repressor;hypothetical protein","118","428","11","139","91.47286821705426","24.514991181657848","3.483857264231096","2.6692753395868665e-05","0.20948472865077727","0.0007758693653732491","45","38","10","3.121309646303416e-06","0.00024708778460080783"
"group_1906",,"","hypothetical protein","44","94","85","473","34.10852713178294","83.42151675485009","2.604755944931164","2.391571265905982e-05","0.18769051294830147","0.0006977342488784441","39","12","31","0.00029407687543425725","0.023702702470473024"
"group_2661",,"","hypothetical protein","66","175","63","392","51.162790697674424","69.1358024691358","2.3466666666666667","2.2492969718056946e-05","0.17652482634731093","0.0006586747251765333","42","12","34","6.87711149112147e-05","0.007915897334896728"
"aadK",,"aadK;","Aminoglycoside 6-adenylyltransferase;hypothetical protein","101","331","28","236","78.29457364341084","41.622574955908284","2.5718601640051793","2.090834537660787e-05","0.16408869451561858","0.000614564398934901","53","36","25","0.012660335802414201","0.7838463022094984"
"group_575",,"","hypothetical protein","101","331","28","236","78.29457364341084","41.622574955908284","2.5718601640051793","2.090834537660787e-05","0.16408869451561858","0.000614564398934901","53","34","26","0.05343881053771099","1.0"
"group_857",,"","hypothetical protein","78","224","51","343","60.46511627906976","60.49382716049383","2.3419117647058822","2.0254833486818978e-05","0.15895993320455534","0.0005998488045454919","40","17","27","0.03847730828420024","0.42959050784338626"
"group_2225",,"","hypothetical protein","51","117","78","450","39.53488372093023","79.36507936507937","2.514792899408284","1.935124911420222e-05","0.15186860304825903","0.0005752598600312842","52","26","35","0.0175332352990849","1.0"
"group_1925",,"","hypothetical protein","50","115","79","452","38.759689922480625","79.71781305114638","2.4876169510181616","1.9051289658309868e-05","0.14951452123841585","0.0005684962784730641","47","17","38","2.4904030624384184e-05","0.0789406936814885"
"xerC_1",,";xerC_1","hypothetical protein;Tyrosine recombinase XerC","41","83","88","484","31.782945736434108","85.3615520282187","2.716867469879518","1.8416351366537765e-05","0.14453152552458837","0.0005516470439869785","41","9","33","0.00011222142620681548","0.0004308570423745555"
"group_1783",,"","hypothetical protein","56","136","73","431","43.41085271317829","76.01410934744268","2.4311039484286865","1.7639744242585107e-05","0.1384367128158079","0.0005304088613632487","36","13","29","0.0003125511575490236","0.13249816396273675"
"group_335",,"","hypothetical protein","56","366","73","201","43.41085271317829","35.44973544973545","0.4212890186391197","1.5060697937631284e-05","0.11819635741453031","0.0004546013746712704","40","29","13","0.00642657609569142","0.03847730828420024"
"mvaS",,";mvaS","hypothetical protein;Hydroxymethylglutaryl-CoA synthase","94","294","35","273","72.86821705426357","48.148148148148145","2.4938775510204083","1.348238155769342e-05","0.10580973046477797","0.0004085317778562856","34","22","15","0.12144948495551947","0.60759136127308"
"group_1168",,"","hypothetical protein;IS1182 family transposase IS1182","70","188","59","379","54.263565891472865","66.84303350970018","2.391813919942301","1.2116935708382407e-05","0.09509371143938512","0.0003685802768968416","58","30","33","0.3581433018061377","0.8956832138895912"
"natA~~~lnrL_3",,";natA;lnrL_3","hypothetical protein;ABC transporter ATP-binding protein NatA;Linearmycin resistance ATP-binding protein LnrL","76","213","53","354","58.91472868217055","62.43386243386243","2.3832048897156524","1.1810365911310331e-05","0.09268775167196348","0.00036065273024110304","47","22","30","0.0789406936814885","0.7708669945730275"
"group_2314",,"","hypothetical protein","51","115","78","452","39.53488372093023","79.71781305114638","2.5698996655518394","1.0553412833261177e-05","0.08282318391543371","0.00032352806216966293","46","17","34","0.0016414913408482337","0.10380535550410737"
"group_1037",,"","hypothetical protein","54","125","75","442","41.86046511627907","77.95414462081128","2.54592","1.0404669169216435e-05","0.08165584364001058","0.00032021899466670815","40","12","32","0.00018216582975583162","0.016589003374974712"
"dfrD",,"dfrD;","Dihydrofolate reductase;IS1595 family transposase ISSsu9","89","269","40","298","68.9922480620155","52.557319223985886","2.464869888475836","9.870246158640382e-06","0.07746169185300972","0.00030496729075988075","48","25","27","0.47087901362171153","0.8854334972865135"
"group_1845",,"","hypothetical protein","43","88","86","479","33.33333333333333","84.47971781305115","2.721590909090909","9.728212803909711e-06","0.07634701408508342","0.0003017668540912388","46","20","33","0.004533861582189049","0.4613911821367656"
"group_1368",,"","hypothetical protein","82","238","47","329","63.565891472868216","58.0246913580247","2.411764705882353","9.723618373926427e-06","0.0763109569985746","0.0003017668540912388","44","19","30","0.022628841205914782","0.4513808323961254"
"group_1408",,"","hypothetical protein","72","193","57","374","55.81395348837209","65.96119929453262","2.4477774747750205","8.161680177836916e-06","0.06405286603566411","0.0002551907013373072","46","20","33","0.004533861582189049","0.4613911821367656"
"group_813",,"","hypothetical protein","77","215","52","352","59.68992248062015","62.08112874779541","2.42432915921288","7.754228539958819e-06","0.06085518558159681","0.00024342074232638723","47","21","29","0.14386508844054902","0.5600646295802097"
"aphA_2~~~aphA_1~~~aphA",,"aphA_2;aphA_1;aphA;","Aminoglycoside 3'-phosphotransferase;hypothetical protein","103","334","26","233","79.84496124031007","41.09347442680776","2.7635882081989864","7.377368887385142e-06","0.057897591028198594","0.0002325204458963799","50","34","23","0.015346677832630098","0.6718110337653654"
"group_1021",,"","hypothetical protein","77","214","52","353","59.68992248062015","62.257495590828924","2.4425772825305536","7.305809004742032e-06","0.057335989069215464","0.00023119350431135267","44","22","26","0.291215236545895","1.0"
"group_1150",,"","hypothetical protein","87","256","42","311","67.44186046511628","54.85008818342152","2.5164620535714284","6.015110665846706e-06","0.04720658850556495","0.0001911197915205059","45","19","30","0.03569780355519469","0.37129803447101056"
"group_2233",,"","hypothetical protein","74","200","55","367","57.36434108527132","64.72663139329806","2.468909090909091","5.848171376438443e-06","0.0458964489622889","0.0001865709307410118","43","22","25","0.36037765293576723","0.9999999999999998"
"group_751",,"","hypothetical protein","81","229","48","338","62.7906976744186","59.61199294532628","2.4907205240174672","5.3035892216148825e-06","0.0416225682112336","0.00016988803351523918","48","18","36","0.0007172696733945825","0.11140289106101872"
"group_1232",,"","hypothetical protein","78","217","51","350","60.46511627906976","61.72839506172839","2.4667931688804554","5.059239372357189e-06","0.039704910594259214","0.00016272504341909515","44","20","28","0.0961417544206142","0.6515878272089135"
"group_2324",,"","hypothetical protein","53","119","76","448","41.08527131782946","79.01234567901234","2.625386996904025","4.807257089582536e-06","0.03772735363904375","0.0001552565993376286","45","13","35","0.00024708778460080783","0.006608822842281368"
"group_371",,"","hypothetical protein","78","216","51","351","60.46511627906976","61.904761904761905","2.485294117647059","4.72221225937272e-06","0.03705992181155711","0.00015314017277502938","46","21","28","0.18392482137699037","0.6587380770236559"
"group_327",,"","hypothetical protein","103","332","26","235","79.84496124031007","41.44620811287478","2.804101019462465","4.71271336348144e-06","0.03698537447660234","0.00015314017277502938","51","35","23","0.010973562899720518","0.5758493477318467"
"group_577",,"","hypothetical protein","90","269","39","298","69.76744186046511","52.557319223985886","2.5564769802688017","4.05356836231609e-06","0.03181240450745667","0.00013255168544773613","44","20","27","0.17417114727072655","0.6515878272089135"
"group_2677",,"","hypothetical protein;IS6 family transposase IS431R;IS6 family transposase IS431mec","85","246","44","321","65.89147286821705","56.613756613756614","2.520787139689579","3.941900280434082e-06","0.030936033400846677","0.0001294394702964296","55","38","22","0.006455803109956637","0.17700136477035802"
"group_2223",,"","hypothetical protein","89","263","40","304","68.9922480620155","53.61552028218695","2.5718631178707225","3.790940859675643e-06","0.029751303866734448","0.00012500547843165736","49","29","26","0.25286973016760356","0.775449654681566"
"group_729",,"","hypothetical protein","60","389","69","178","46.51162790697674","31.393298059964724","0.39789873700681794","3.7747647399734953e-06","0.02962435367931199","0.0001249972729084894","34","25","12","0.009041185490787033","0.12144948495551947"
"group_2573",,"","hypothetical protein;IS21 family transposase ISLmo7;Insertion sequence IS5376 putative ATP-binding protein","88","258","41","309","68.21705426356588","54.4973544973545","2.570618264322178","3.748498215803199e-06","0.029418213997623507","0.0001246534491424725","43","19","28","0.06599403445579806","0.5423840118564844"
"group_1690",,"","hypothetical protein","85","245","44","322","65.89147286821705","56.79012345679012","2.538961038961039","3.717505181729017e-06","0.029174980666209327","0.0001241488538987631","47","21","30","0.0789406936814885","0.5600646295802097"
"group_2055",,"","hypothetical protein","94","285","35","282","72.86821705426357","49.735449735449734","2.6574436090225566","3.3896994197849688e-06","0.026602361046472435","0.00011368530361740356","43","19","25","0.36037765293576723","0.5423840118564844"
"group_1518",,"","hypothetical protein","94","285","35","282","72.86821705426357","49.735449735449734","2.6574436090225566","3.3896994197849688e-06","0.026602361046472435","0.00011368530361740356","43","19","25","0.36037765293576723","0.5423840118564844"
"group_228",,"","hypothetical protein","27","36","102","531","20.930232558139537","93.65079365079364","3.9044117647058822","3.389168890793571e-06","0.026598197454947944","0.00011368530361740356","13","6","8","0.5810546875","0.9999999999999999"
"topB_2~~~topB_1~~~topA_1~~~topB_7~~~topB_4",,";topB_2;topB_1;topA_1;topB_7;topB_4","hypothetical protein;DNA topoisomerase 3;DNA topoisomerase 1","95","291","34","276","73.64341085271317","48.67724867724868","2.6500909642207398","3.38098904153427e-06","0.02653400199796095","0.00011368530361740356","56","36","27","0.04404654610215076","0.8938530948350202"
"group_1451",,"","hypothetical protein","54","121","75","446","41.86046511627907","78.65961199294532","2.653884297520661","3.257146712885858e-06","0.025562087402728216","0.00011113951044664442","35","13","27","0.0018782254774123435","0.17546524899080426"
"group_1523",,"","hypothetical protein","80","222","49","345","62.01550387596899","60.84656084656085","2.53723110865968","3.097083359578436e-06","0.024305910205971566","0.00010613934587760509","41","18","26","0.11727520595741232","0.5327092552361133"
"pbp~~~pbp_1~~~pbp_2~~~mecA_2~~~mecA",,"pbp;pbp_1;pbp_2;mecA_2;mecA","Beta-lactam-inducible penicillin-binding protein;PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA","105","340","24","227","81.3953488372093","40.0352733686067","2.920955882352941","2.5033468058167063e-06","0.01964626573204951","8.616783215811189e-05","28","18","13","0.18493334203958517","0.8505540192127226"
"lysA_1~~~lysA_3~~~lysA_2~~~nspC~~~sbnH_1",,";lysA_1;lysA_3;lysA_2;nspC;sbnH_1","hypothetical protein;Diaminopimelate decarboxylase;Carboxynorspermidine/carboxyspermidine decarboxylase;2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate decarboxylase","88","256","41","311","68.21705426356588","54.85008818342152","2.607469512195122","2.359571921907045e-06","0.01851792044312649","8.15767420402048e-05","53","31","27","0.2716791660655032","1.0"
